"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx","type"
25,-24.2702738370175,560298.585648631,6813314.36272616,"STN00025",176.9,NA,NA,"STN00025",NA,"LB01"
25,47.6983224222587,560298.945491612,6813386.33132242,"STN00025",176.9,NA,NA,"STN00025",NA,"RB01"
50,-35.6050033908522,560302.53821238,6813304.80223759,"STN00050",178,NA,NA,"STN00050",NA,"LB01"
50,15.6571478397349,560266.552182216,6813341.30088926,"STN00050",178,NA,NA,"STN00050",NA,"RB01"
75,-54.8726667406505,560291.297019376,6813270.19264927,"STN00075",178.3,NA,NA,"STN00075",NA,"LB01"
75,21.0877335760562,560247.164026792,6813332.02441513,"STN00075",178.3,NA,NA,"STN00075",NA,"RB01"
100,-19.0476148955494,560237.356761926,6813289.1268851,"STN00100",178.3,NA,NA,"STN00100",NA,"LB01"
100,67.9998122065717,560237.791999061,6813376.17431221,"STN00100",178.3,NA,NA,"STN00100",NA,"RB01"
125,-23.3276505116617,560214.71905674,6813284.04333244,"STN00125",178.1,NA,NA,"STN00125",NA,"LB01"
125,12.8836905606813,560211.894572136,6813320.14603949,"STN00125",178.1,NA,NA,"STN00125",NA,"RB01"
150,-39.1111563241779,560221.752533774,6813271.01658104,"STN00150",178.3,NA,NA,"STN00150",NA,"LB01"
150,82.2056921628127,560131.128847954,6813351.69228529,"STN00150",178.3,NA,NA,"STN00150",NA,"RB01"
175,-6.50480965063445,560176.791592198,6813276.8736665,"STN00175",177.8,NA,NA,"STN00175",NA,"LB01"
175,37.4666937945064,560157.663988199,6813316.49199111,"STN00175",177.8,NA,NA,"STN00175",NA,"RB01"
200,-6.64950448324687,560151.165252478,6813271.19649552,"STN00200",177.8,NA,NA,"STN00200",NA,"LB01"
200,36.258476077969,560151.37979238,6813314.10447608,"STN00200",177.8,NA,NA,"STN00200",NA,"RB01"
225,-17.8947259731767,560126.10952637,6813260.08077403,"STN00225",178,NA,NA,"STN00225",NA,"LB01"
225,38.769014084507,560126.39284507,6813316.74451408,"STN00225",178,NA,NA,"STN00225",NA,"RB01"
250,-33.1724072612469,560107.566447198,6813243.39050644,"STN00250",178.1,NA,NA,"STN00250",NA,"LB01"
250,18.8717361222848,560098.97916354,6813294.70603182,"STN00250",178.1,NA,NA,"STN00250",NA,"RB01"
275,-38.5715780296422,560110.989468788,6813239.16940061,"STN00275",178.2,NA,NA,"STN00275",NA,"LB01"
275,14.8570948782535,560071.078250126,6813274.69946809,"STN00275",178.2,NA,NA,"STN00275",NA,"RB01"
300,-38.0002122578935,560093.942158557,6813220.87435885,"STN00300",177.9,NA,NA,"STN00300",NA,"LB01"
300,9.91066432672813,560058.152733748,6813252.73509178,"STN00300",177.9,NA,NA,"STN00300",NA,"RB01"
325,-41.4757370151996,560079.91787555,6813199.88813488,"STN00325",177.8,NA,NA,"STN00325",NA,"LB01"
325,6.92682793698054,560043.761159531,6813232.07584058,"STN00325",177.8,NA,NA,"STN00325",NA,"RB01"
350,-51.770536585366,560091.722266049,6813203.20570263,"STN00350",178.2,NA,NA,"STN00350",NA,"LB01"
350,8.9057177405426,560031.106687977,6813206.3001916,"STN00350",178.2,NA,NA,"STN00350",NA,"RB01"
375,-39.7460411267469,560079.862039945,6813202.49532995,"STN00375",177.9,NA,NA,"STN00375",NA,"LB01"
375,12.0983377734419,560034.550052786,6813177.35080618,"STN00375",177.9,NA,NA,"STN00375",NA,"RB01"
400,-29.8149742609527,560081.829679924,6813181.93017389,"STN00400",177.9,NA,NA,"STN00400",NA,"LB01"
400,35.4666666666667,560030.91,6813141.06386667,"STN00400",177.9,NA,NA,"STN00400",NA,"RB01"
425,-22.1538028169012,560088.371302817,6813141.04473099,"STN00425",178.2,NA,NA,"STN00425",NA,"LB01"
425,44.8938181818175,560021.323681818,6813141.37996909,"STN00425",178.2,NA,NA,"STN00425",NA,"RB01"
450,-24.5237242569985,560090.612224257,6813116.03338138,"STN00450",177.7,NA,NA,"STN00450",NA,"LB01"
450,18.7706383385972,560047.317861661,6813116.24985319,"STN00450",177.7,NA,NA,"STN00450",NA,"RB01"
475,-29.9960764563398,560095.955076456,6813091.00601962,"STN00475",177.4,NA,NA,"STN00475",NA,"LB01"
475,8.2087895233601,560057.750210477,6813091.19704395,"STN00475",177.4,NA,NA,"STN00475",NA,"RB01"
500,-56.4998365122622,560122.329336512,6813065.87400082,"STN00500",177.7,NA,NA,"STN00500",NA,"LB01"
500,11.1428686407995,560054.686631359,6813066.21221434,"STN00500",177.7,NA,NA,"STN00500",NA,"RB01"
525,-51.0381325132794,560116.738132513,6813040.90180934,"STN00525",178.4,NA,NA,"STN00525",NA,"LB01"
525,26.7272575946734,560038.972742405,6813041.29063629,"STN00525",178.4,NA,NA,"STN00525",NA,"RB01"
550,-28.4728379749692,560094.043337975,6813016.01463581,"STN00550",178.3,NA,NA,"STN00550",NA,"LB01"
550,39.1321126273969,560026.438387373,6813016.35266056,"STN00550",178.3,NA,NA,"STN00550",NA,"RB01"
575,-32.8572923479403,560083.86354637,6812973.78190791,"STN00575",178.4,NA,NA,"STN00575",NA,"LB01"
575,39.7654612722283,560026.636816518,6813018.51752414,"STN00575",178.4,NA,NA,"STN00575",NA,"RB01"
600,-38.3928610354225,560070.807467193,6812949.51824741,"STN00600",178.3,NA,NA,"STN00600",NA,"LB01"
600,31.2727978915247,560018.767219975,6812995.8459106,"STN00600",178.3,NA,NA,"STN00600",NA,"RB01"
625,-33.999908456345,560050.905431617,6812933.76456088,"STN00625",178.1,NA,NA,"STN00625",NA,"LB01"
625,25.9690516431923,560006.108618423,6812973.64391934,"STN00625",178.1,NA,NA,"STN00625",NA,"RB01"
650,-30.1538873239436,560015.374973972,6812914.83834538,"STN00650",178.1,NA,NA,"STN00650",NA,"LB01"
650,25.8401367187498,559998.464778711,6812968.20065029,"STN00650",178.1,NA,NA,"STN00650",NA,"RB01"
675,-32.4968818121506,559982.677515591,6812907.68111819,"STN00675",178.1,NA,NA,"STN00675",NA,"LB01"
675,17.9354251261232,559982.929677126,6812958.11342513,"STN00675",178.1,NA,NA,"STN00675",NA,"RB01"
700,-36.7543842461056,559957.656728079,6812903.55311575,"STN00700",178,NA,NA,"STN00700",NA,"LB01"
700,8.43609780690698,559957.882680489,6812948.74359781,"STN00700",178,NA,NA,"STN00700",NA,"RB01"
725,-48.3556783423776,559932.599221608,6812892.08082166,"STN00725",177.9,NA,NA,"STN00725",NA,"LB01"
725,9.19999999999972,559932.887,6812949.6365,"STN00725",177.9,NA,NA,"STN00725",NA,"RB01"
750,-49.7209368346345,559897.241917033,6812894.98147033,"STN00750",178,NA,NA,"STN00750",NA,"LB01"
