"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
25,4,560298.727,6813342.633,8,173.039993286133,190.490005493164,172.934997558594,"STN00025",50
50,-10,560284.5635,6813323.033,8,173.115997314453,NA,NA,"STN00050",42
75,0,560259.416,6813314.859,8,173.029998779297,NA,172.970001220703,"STN00075",49
100,1,560237.457,6813309.1745,8,173.136672973633,NA,172.964996337891,"STN00100",49
125,-7,560213.4455,6813300.322,8,172.975006103516,NA,NA,"STN00125",45
150,-1,560193.2835,6813296.3605,8,172.990005493164,176.744995117188,NA,"STN00150",48
175,11,560169.177,6813292.6455,8,173.100006103516,188.537506103516,172.985000610352,"STN00175",54
200,9,560151.2435,6813286.846,8,172.956253051758,179.139999389648,172.946670532227,"STN00200",54
225,5,560126.224,6813282.9755,8,172.979995727539,184.546463012695,NA,"STN00225",50
250,0,560102.093,6813276.0985,8,173.002502441406,NA,NA,"STN00250",48
275,-3,560084.4175,6813262.8245,8,173.093338012695,187.705001831055,NA,"STN00275",48
300,-4,560068.544,6813243.4845,8,172.932006835938,NA,NA,"STN00300",49
325,-16,560060.8875,6813216.8295,8,172.842849731445,NA,NA,"STN00325",43
350,-18,560057.9855,6813204.928,8,172.946670532227,NA,NA,"STN00350",42
375,-10,560053.864,6813188.0685,8,173.188003540039,NA,NA,"STN00375",46
400,4,560055.454,6813160.762,8,173.149993896484,182.910003662109,NA,"STN00400",51
425,0,560066.2175,6813141.1555,8,173.070007324219,NA,NA,"STN00425",49
450,-6,560072.0885,6813116.126,8,172.929992675781,NA,NA,"STN00450",45
475,-14,560079.959,6813091.086,8,173.160003662109,NA,NA,"STN00475",43
500,-11,560076.8295,6813066.1015,8,172.956665039062,NA,173.026672363281,"STN00500",44
525,-12,560077.7,6813041.097,8,172.990005493164,NA,NA,"STN00525",42
550,-8,560073.5705,6813016.117,8,173.070007324219,NA,172.979995727539,"STN00550",45
575,-4,560061.124,6812991.558,8,172.975006103516,NA,172.880004882812,"STN00575",47
600,-10,560049.598,6812968.3995,8,173.070007324219,NA,NA,"STN00600",43
625,-8,560031.4835,6812951.0545,8,173,NA,172.932495117188,"STN00625",43
650,-6,560008.0805,6812937.857,8,172.976669311523,183.225006103516,173.039993286133,"STN00650",44
675,-6,559982.81,6812934.178,8,172.869995117188,NA,172.850006103516,"STN00675",46
700,-8,559957.8005,6812932.3075,8,172.942504882812,196.463333129883,NA,"STN00700",47
725,-16,559932.761,6812924.4365,8,173.205993652344,NA,NA,"STN00725",43
750,-14,559905.7435,6812929.6665,8,173.255996704102,NA,NA,"STN00750",44
775,0,559889.5965,6812955.443,8,173.029998779297,190.979995727539,NA,"STN00775",51
800,-4,559870.154,6812971.6605,8,172.940002441406,181.725006103516,172.880004882812,"STN00800",48
